名字,姓氏,goat_score_combined,荣誉分,荣誉归一化,数据分,数据归一化
Jarrett,Culver,0.0,0.0,0.0,,
Cade,Cunningham,0.0,0.0,0.0,,
Dell,Curry,0.0,0.0,0.0,,
Quintin,Dailey,0.0,0.0,0.0,,
Dwight,Davis,0.0,0.0,0.0,,
DeMar,DeRozan,0.0,0.0,0.0,,
Michael,Dickerson,0.0,0.0,0.0,,
Ernie,Digregorio,0.0,0.0,0.0,,
Robert,Dillingham,0.0,0.0,0.0,,
Michael,Doleac,0.0,0.0,0.0,,
Chris,Duarte,0.0,0.0,0.0,,
Kevin,Duckworth,0.0,0.0,0.0,,
Richard,Dumas,0.0,0.0,0.0,,
Mike,Dunleavy Jr.,0.0,0.0,0.0,,
Tyus,Edney,0.0,0.0,0.0,,
Blue,Edwards,0.0,0.0,0.0,,
Henry,Ellenson,0.0,0.0,0.0,,
Sean,Elliott,0.0,0.0,0.0,,
LaPhonso,Ellis,0.0,0.0,0.0,,
Dante,Exum,0.0,0.0,0.0,,
Kenneth,Faried,0.0,0.0,0.0,,
Jordan,Farmar,0.0,0.0,0.0,,
Derrick,Favors,0.0,0.0,0.0,,
Marvin,Finley,0.0,0.0,0.0,,
Michael,Finley,0.0,0.0,0.0,,
Marcus,Fizer,0.0,0.0,0.0,,
Malachi,Flynn,0.0,0.0,0.0,,
Sharrod,Ford,0.0,0.0,0.0,,
Danny,Fortson,0.0,0.0,0.0,,
De'Aaron,Fox,0.0,0.0,0.0,,
Rick,Fox,0.0,0.0,0.0,,
Markelle,Fultz,0.0,0.0,0.0,,
